FECHA PRECIO,ANIO,MES,DIA,DEPARTAMENTO,MUNICIPIO,CODIGO MUNICIPIO DANE,PRODUCTO,VALOR PRECIO
29 Apr 2023,2023,4,29,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,54001,GASOLINA CORRIENTE,11550
29 Apr 2023,2023,4,29,NORTE DE SANTANDER,SAN JOSE DE CUCUTA,54001,GASOLINA CORRIENTE,11550
01 Apr 2023,2023,4,1,SANTANDER,LA BELLEZA,68377,GASOLINA CORRIENTE,12050
03 Apr 2023,2023,4,3,ANTIOQUIA,EL BAGRE,05250,GASOLINA CORRIENTE,11500
03 Apr 2023,2023,4,3,ANTIOQUIA,EL BAGRE,05250,GASOLINA CORRIENTE,11500
03 Apr 2023,2023,4,3,LA GUAJIRA,LA JAGUA DEL PILAR,44420,AVIGAS,9250
03 Apr 2023,2023,4,3,LA GUAJIRA,LA JAGUA DEL PILAR,44420,AVIGAS,9250
01 Apr 2023,2023,4,1,CALDAS,MANIZALES,17001,GASOLINA CORRIENTE,11180
01 Apr 2023,2023,4,1,CALDAS,MANIZALES,17001,GASOLINA CORRIENTE,11180
21 Apr 2023,2023,4,21,CESAR,PAILITAS,20517,ACPM,8500
05 Apr 2023,2023,4,5,CESAR,PAILITAS,20517,GASOLINA EXTRA,9400
01 Apr 2023,2023,4,1,CAUCA,POPAYAN,19001,ACPM,9851
29 Apr 2023,2023,4,29,RISARALDA,PEREIRA,66001,ACPM,9390
01 Apr 2023,2023,4,1,HUILA,NEIVA,41001,ACPM,9450
04 Apr 2023,2023,4,4,ANTIOQUIA,PUERTO TRIUNFO,05591,GASOLINA CORRIENTE,11300
01 Apr 2023,2023,4,1,NARIÑO,EL CHARCO,52250,GASOLINA CORRIENTE,9230
01 Apr 2023,2023,4,1,RISARALDA,PEREIRA,66001,GASOLINA EXTRA,19900
14 Apr 2023,2023,4,14,CUNDINAMARCA,CAJICA,25126,GASOLINA CORRIENTE,11190
14 Apr 2023,2023,4,14,CUNDINAMARCA,CAJICA,25126,GASOLINA CORRIENTE,11190
03 Apr 2023,2023,4,3,ANTIOQUIA,JERICO,05368,GASOLINA EXTRA,20140
04 Apr 2023,2023,4,4,BOYACA,SAN LUIS DE GACENO,15667,GASOLINA CORRIENTE,11870
01 Apr 2023,2023,4,1,BOYACA,GUATEQUE,15322,GASOLINA CORRIENTE,11385
02 Apr 2023,2023,4,2,SUCRE,MAJAGUAL,70429,ACPM,9800
01 Apr 2023,2023,4,1,CALDAS,LA DORADA,17380,GASOLINA EXTRA,19880
02 Apr 2023,2023,4,2,NARIÑO,GUACHUCAL,52317,GASOLINA CORRIENTE,9700
01 Apr 2023,2023,4,1,RISARALDA,DOSQUEBRADAS,66170,GASOLINA EXTRA,19250
01 Apr 2023,2023,4,1,CASANARE,YOPAL,85001,ACPM,9270
03 Apr 2023,2023,4,3,TOLIMA,PRADO,73563,GASOLINA CORRIENTE,11570
01 Apr 2023,2023,4,1,RISARALDA,MARSELLA,66440,GASOLINA CORRIENTE,11480
01 Apr 2023,2023,4,1,CAUCA,SANTANDER DE QUILICHAO,19698,GASOLINA CORRIENTE,11740
12 Apr 2023,2023,4,12,ANTIOQUIA,ARMENIA,05059,GASOLINA CORRIENTE,11600
10 Apr 2023,2023,4,10,META,VILLAVICENCIO,50001,ACPM,9160
11 Apr 2023,2023,4,11,NORTE DE SANTANDER,VILLA DEL ROSARIO,54874,GASOLINA CORRIENTE,9717
01 Apr 2023,2023,4,1,ANTIOQUIA,NECOCLI,05490,GASOLINA EXTRA,19090
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,CALI,76001,GASOLINA EXTRA,18820
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,CALI,76001,GASOLINA EXTRA,18820
01 Apr 2023,2023,4,1,VALLE DEL CAUCA,CALI,76001,GASOLINA EXTRA,18820
